timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-04-06T06:08:10,codecarbon,9e55500c-f5e7-4e86-88ea-117fbd1881ce,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,181.4462863000008,0.0008651483515145,4.768068661841429e-06,42.5,11.43418760237647,11.94020175933838,0.0021417892590279,0.0005905435279899,0.0006014309128427,0.0033337636998606,Colombia,COL,departamento de bolívar,,,Windows-10-10.0.26100-SP0,3.10.16,2.8.3,20,12th Gen Intel(R) Core(TM) i7-12700KF,1,1 x NVIDIA GeForce RTX 4060 Ti,-75.5117,10.3956,31.840538024902344,machine,N,1.0
2025-04-06T06:11:49,codecarbon,771ed307-edea-4c63-b511-1bd467095ee8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,182.69511920000514,0.000870843183311217,4.766647226945691e-06,42.5,11.542621289427112,11.940201759338379,0.00215641271333344,0.000593796308369976,0.0006054991498624018,0.0033557081715658173,Colombia,COL,departamento de bolívar,,,Windows-10-10.0.26100-SP0,3.10.16,2.8.3,20,12th Gen Intel(R) Core(TM) i7-12700KF,1,1 x NVIDIA GeForce RTX 4060 Ti,-75.5117,10.3956,31.840538024902344,machine,N,1.0
